type,Label,ID,session,bias,bias_error,MgO,FeO,CaO,Cr2O3,MnO,Yield,Fo,R_Mg_Si
standard,OR-Ol,WI-STD-91 OROL17_2,3,0.91,0.16806235,27.55,35.77,0.037,0,0.6648172,1.57,0.578452992,7.87
standard,OR-Ol,WI-STD-91 OROL1_1,3,0.83,0.16806235,28.42,34.81,0.02,0,0.67,1.59,0.592599347,8.04
standard,OR-Ol,WI-STD-91 OROL1_2,3,0.87,0.16806235,28.42,34.81,0.02,0,0.67,1.6,0.592599347,8.04
standard,OR-Ol,WI-STD-91 OROL2_1,3,0.97,0.16806235,28.42,34.81,0.02,0,0.67,1.61,0.592599347,8.04
standard,OR-Ol,WI-STD-91 OROL2_2,3,0.97,0.16806235,28.42,34.81,0.02,0,0.67,1.6,0.592599347,8.04
standard,OR-Ol,WI-STD-91 OROL5_1,3,1.02,0.16806235,29.07,34.16,0.036,0,0.6446704,1.61,0.602569839,8.22
standard,OR-Ol,WI-STD-91 OROL5_2,3,1.07,0.16806235,29.07,34.16,0.036,0,0.6446704,1.6,0.602569839,8.22
standard,SK-Ol,WI-STD-15 Skye-X_1,3,-1.45,0.226690788,56.58,0.23,0.054,0,0.0719015,1.71,0.999464599,8.13
standard,SK-Ol,WI-STD-15 Skye-V_1,3,-1.43,0.22254094,56.91,0.19,0.032,0,0.083432,1.71,0.999684496,8.12
standard,SK-Ol,WI-STD-15 Skye-W_1,3,-1.44,0.226485639,56.84,0.16,0.03,0,0.0723755,1.72,0.999703845,8.1
standard,SW-Ol,WI-STD-91 SWOL4_1,3,1.33,0.195643446,42.86,16.95,0,0,0.32,1.94,0.818349376,10.63
standard,SW-Ol,WI-STD-91 SWOL4_2,3,1.27,0.195643446,42.86,16.95,0,0,0.32,1.95,0.818349376,10.63
standard,UW-Ol,WI-STD-91 UWOL42_1,3,-0.08,0.195643446,48.3028038,10.32,0.064,0,0.17,1.86,0.892921729,8.72
